OID_,src_GEOID10,nbr_GEOID10,LENGTH,NODE_COUNT
43959,421014212,421014217,84.944998975182273,0
43960,421014213,421014204,148.837699381690584,0
43961,421014213,421014207,100.718663096468006,0
43962,421014213,421014209,246.668625483404412,0
43963,421014213,421014212,219.540280231210716,0
43964,421014213,421014217,405.560671346546712,0
43965,421014213,421014901,0.000000000000000,1
43966,421014213,421014909,334.924048809941098,0
43967,421014213,421014913,58.075245591995447,0
43968,421014214,421012312,34.410886709566611,0
43969,421014214,421013530,45.039485507928319,0
43970,421014214,421014209,220.863274195345980,0
43971,421014214,421014210,334.355962729859641,0
43972,421014214,421014211,264.182754511876112,0
43973,421014214,421014212,261.444497406424489,0
43974,421014214,421014215,865.854107411358314,0
43975,421014215,421013530,470.271564332167770,0
43976,421014215,421014212,92.218164533923442,0
43977,421014215,421014214,865.854107411358314,0
43978,421014215,421014216,249.845080735536698,0
43979,421014215,421014218,617.168898112422312,0
43980,421014215,421014219,41.593708482421292,0
43981,421014216,421014212,813.664447111043728,0
43982,421014216,421014215,249.845080735536698,0
43983,421014216,421014217,10.870813590511375,0
43984,421014216,421014219,686.377627871876030,0
43985,421014216,421014220,426.249329784659722,0
43986,421014217,421014212,84.944998975182273,0
43987,421014217,421014213,405.560671346546712,0
43988,421014217,421014216,10.870813590511375,0
43989,421014217,421014220,359.434407667781898,0
43990,421014217,421014221,247.008726764762145,0
43991,421014217,421014909,343.151751267988061,0
43992,421014218,421013520,0.000000000000000,1
43993,421014218,421013528,276.079561290840672,0
43994,421014218,421013530,413.203005715563734,0
43995,421014218,421014215,617.168898112422312,0
43996,421014218,421014219,517.064883433907880,0
43997,421014218,421016105,272.615222150109560,0
43998,421014219,421014215,41.593708482421292,0
43999,421014219,421014216,686.377627871876030,0
44000,421014219,421014218,517.064883433907880,0
44001,421014219,421014220,121.068240308562054,0
44002,421014219,421014224,627.657270304857548,0
44003,421014219,421016105,447.916407229851302,0
44004,421014220,421014216,426.249329784659722,0
